,Date,Open,High,Low,Close,Volume,High-Low,Open-Close
2744,03-08-2009,257.50,260.63,255.05,259.49,997216,5.58,-1.99
2745,31-07-2009,253.88,259.62,252.64,257.99,2413312,6.98,-4.11
2746,30-07-2009,247.62,252.34,247.62,251.30,2196560,4.72,-3.68
2747,29-07-2009,247.62,249.72,243.75,247.97,855368,5.97,-0.35
2748,28-07-2009,255.38,255.38,246.04,249.35,1026744,9.34,6.03
2749,27-07-2009,250.63,255.49,249.54,253.17,1149376,5.95,-2.54
2750,24-07-2009,248.13,251.38,247.80,250.42,1706712,3.58,-2.29
2751,23-07-2009,243.38,247.00,241.88,244.99,7749904,5.12,-1.61
2752,22-07-2009,246.50,246.50,236.88,239.90,1610488,9.62,6.60
2753,21-07-2009,253.13,253.13,240.64,242.89,968872,12.49,10.24
2754,20-07-2009,235.00,249.25,233.77,246.59,4551552,15.48,-11.59
2755,17-07-2009,227.13,234.13,225.13,233.38,1928560,9.00,-6.25
2756,16-07-2009,225.00,227.50,221.35,224.39,1727432,6.15,0.61
2757,15-07-2009,227.38,227.38,219.90,223.87,1570792,7.48,3.51
2758,14-07-2009,222.50,226.80,218.89,225.80,1683104,7.91,-3.30
2759,13-07-2009,215.00,221.81,213.75,221.00,1642232,8.06,-6.00
2760,10-07-2009,204.38,220.88,204.38,215.82,4775792,16.50,-11.44
2761,09-07-2009,213.50,214.00,208.75,209.60,1610776,5.25,3.90
2762,08-07-2009,215.63,216.63,211.00,213.22,1806136,5.63,2.41
2763,07-07-2009,221.25,221.88,215.75,217.40,1154256,6.13,3.85
2764,06-07-2009,225.00,227.38,218.75,220.00,1664056,8.63,5.00
2765,03-07-2009,222.50,226.25,218.75,225.12,895736,7.50,-2.62
2766,02-07-2009,223.13,225.00,220.63,224.49,610496,4.37,-1.36
2767,01-07-2009,222.10,226.62,221.39,224.59,793840,5.23,-2.49
2768,30-06-2009,223.14,224.88,220.00,222.12,922976,4.88,1.02
2769,29-06-2009,227.53,228.75,221.57,222.97,1090128,7.18,4.56
2770,26-06-2009,221.25,229.84,219.05,228.35,1734728,10.79,-7.10
2771,25-06-2009,222.50,224.72,218.26,219.72,779384,6.46,2.78
2772,24-06-2009,218.89,221.74,215.28,219.90,875936,6.46,-1.01
2773,23-06-2009,212.38,221.25,212.38,218.26,1425408,8.87,-5.88
2774,22-06-2009,221.88,223.75,218.65,220.72,797984,5.10,1.16
2775,19-06-2009,215.63,223.13,215.00,221.39,1182216,8.13,-5.76
2776,18-06-2009,213.75,220.00,211.75,215.19,1328680,8.25,-1.44
2777,17-06-2009,217.50,218.09,209.00,213.82,1272304,9.09,3.68
2778,16-06-2009,212.75,216.72,210.67,215.52,664576,6.05,-2.77
2779,15-06-2009,215.62,221.88,211.25,215.05,1150368,10.63,0.57
2780,12-06-2009,220.75,221.88,214.63,216.00,742008,7.25,4.75
2781,11-06-2009,231.75,231.75,215.90,218.95,1171808,15.85,12.80
2782,10-06-2009,223.75,229.50,220.26,225.41,2314448,9.24,-1.66
2783,09-06-2009,215.00,225.00,215.00,224.45,1811592,10.00,-9.45
2784,08-06-2009,212.50,218.13,210.13,216.65,1871136,8.00,-4.15
2785,05-06-2009,205.60,213.13,204.17,211.32,1737448,8.96,-5.72
2786,04-06-2009,206.25,206.25,200.25,203.38,2279008,6.00,2.87
2787,03-06-2009,212.38,213.13,202.75,205.74,1480152,10.38,6.64
2788,02-06-2009,210.63,213.35,203.13,210.29,1190168,10.22,0.34
2789,01-06-2009,200.63,210.63,200.63,209.61,1860328,10.00,-8.98
2790,29-05-2009,200.00,201.84,197.48,200.25,1480016,4.36,-0.25
2791,28-05-2009,199.88,203.13,195.13,196.98,1525496,8.00,2.90
2792,27-05-2009,203.59,203.59,194.39,198.08,1278360,9.20,5.51
2793,26-05-2009,189.38,194.75,187.75,192.90,1725488,7.00,-3.52
2794,25-05-2009,190.00,192.00,186.38,188.50,1489784,5.62,1.50
2795,22-05-2009,187.38,190.63,185.64,189.93,1846424,4.99,-2.55
2796,21-05-2009,192.50,194.74,186.88,187.84,1979336,7.86,4.66
2797,20-05-2009,193.38,201.00,189.78,191.77,3255160,11.22,1.61
